script	grapheme	unicode	IPA	comment	source	omniglot
Crimean Tatar	А	U+0410	a		Kavitskaya 2010: 5-17	
Crimean Tatar	а	U+0430	a		Kavitskaya 2010: 5-17	
Crimean Tatar	Б	U+0411	b		Kavitskaya 2010: 5-17
Crimean Tatar	б	U+0431	b		Kavitskaya 2010: 5-17	
Crimean Tatar	В	U+0412	w		Kavitskaya 2010: 5-17	
Crimean Tatar	в	U+0432	w		Kavitskaya 2010: 5-17	
Crimean Tatar	В	U+0412	v		Kavitskaya 2010: 5-17	
Crimean Tatar	в	U+0432	v		Kavitskaya 2010: 5-17	
Crimean Tatar	Г	U+0425	g		Kavitskaya 2010: 5-17	
Crimean Tatar	г	U+0445	g		Kavitskaya 2010: 5-17	
Crimean Tatar	Гъ	U+0425 U+044A	ɣ		Kavitskaya 2010: 5-17	
Crimean Tatar	гъ	U+0445 U+044A	ɣ		Kavitskaya 2010: 5-17	
Crimean Tatar	Д	U+0414	d		Kavitskaya 2010: 5-17	
Crimean Tatar	д	U+0434	d		Kavitskaya 2010: 5-17	
Crimean Tatar	Ё	U+0401	jo		Kavitskaya 2010: 5-17	
Crimean Tatar	ё	U+0451	jo		Kavitskaya 2010: 5-17	
Crimean Tatar	Ё	U+0401	ø		Kavitskaya 2010: 5-17	
Crimean Tatar	ё	U+0451	ø		Kavitskaya 2010: 5-17	
Crimean Tatar	Дж	U+0414 U+0436	d͡ʒ		Kavitskaya 2010: 5-17	
Crimean Tatar	дж	U+0434 U+0436	d͡ʒ		Kavitskaya 2010: 5-17	
Crimean Tatar	З	U+0417	z		Kavitskaya 2010: 5-17	
Crimean Tatar	з	U+0437	z		Kavitskaya 2010: 5-17	
Crimean Tatar	И	U+0418	i		Kavitskaya 2010: 5-17	
Crimean Tatar	и	U+0438	i		Kavitskaya 2010: 5-17	
Crimean Tatar	И	U+0418	ɪ		Kavitskaya 2010: 5-17	
Crimean Tatar	и	U+0438	ɪ		Kavitskaya 2010: 5-17	
Crimean Tatar	Й	U+0419	j		Kavitskaya 2010: 5-17	
Crimean Tatar	й	U+0439	j		Kavitskaya 2010: 5-17	
Crimean Tatar	Л	U+041B	l		Kavitskaya 2010: 5-17	
Crimean Tatar	л	U+043B	l		Kavitskaya 2010: 5-17	
Crimean Tatar	М	U+041C	m		Kavitskaya 2010: 5-17	
Crimean Tatar	м	U+043C	m		Kavitskaya 2010: 5-17	
Crimean Tatar	Н	U+041D	n		Kavitskaya 2010: 5-17	
Crimean Tatar	н	U+043D	n		Kavitskaya 2010: 5-17	
Crimean Tatar	нъ	U+043D U+044A	ŋ		Kavitskaya 2010: 5-17	
Crimean Tatar	О	U+041E	o		Kavitskaya 2010: 5-17	
Crimean Tatar	о	U+043E	o		Kavitskaya 2010: 5-17	
Crimean Tatar	П	U+041F	p		Kavitskaya 2010: 5-17	
Crimean Tatar	п	U+043F	p		Kavitskaya 2010: 5-17	
Crimean Tatar	Р	U+0420	r		Kavitskaya 2010: 5-17	
Crimean Tatar	р	U+0440	r		Kavitskaya 2010: 5-17	
Crimean Tatar	С	U+0421	s		Kavitskaya 2010: 5-17	
Crimean Tatar	с	U+0441	s		Kavitskaya 2010: 5-17	
Crimean Tatar	Т	U+0422	t		Kavitskaya 2010: 5-17	
Crimean Tatar	т	U+0442	t		Kavitskaya 2010: 5-17	
Crimean Tatar	У	U+0423	u		Kavitskaya 2010: 5-17	
Crimean Tatar	у	U+0443	u		Kavitskaya 2010: 5-17	
Crimean Tatar	Ф	U+0424	f		Kavitskaya 2010: 5-17	
Crimean Tatar	ф	U+0444	f		Kavitskaya 2010: 5-17	
Crimean Tatar	Х	U+0425	x		Kavitskaya 2010: 5-17	
Crimean Tatar	х	U+0445	x		Kavitskaya 2010: 5-17	
Crimean Tatar	Ц	U+0426	t͡s		Kavitskaya 2010: 5-17	
Crimean Tatar	ц	U+0446	t͡s		Kavitskaya 2010: 5-17	
Crimean Tatar	Ч	U+0427	t͡ʃ		Kavitskaya 2010: 5-17	
Crimean Tatar	ч	U+0447	t͡ʃ		Kavitskaya 2010: 5-17	
Crimean Tatar	Ш	U+0428	ʃ		Kavitskaya 2010: 5-17	
Crimean Tatar	ш	U+0448	ʃ		Kavitskaya 2010: 5-17	
Crimean Tatar	Ы	U+042B	ɯ		Kavitskaya 2010: 5-17
Crimean Tatar	ы	U+044B	ɯ		Kavitskaya 2010: 5-17
Crimean Tatar	Э	U+042D	e		Kavitskaya 2010: 5-17	
Crimean Tatar	э	U+044D	e		Kavitskaya 2010: 5-17	
Crimean Tatar	е	U+0435	e	в середине слова	Kavitskaya 2010: 5-17	
Crimean Tatar	Ю	U+042E	ju		Kavitskaya 2010: 5-17	
Crimean Tatar	ю	U+044E	ju		Kavitskaya 2010: 5-17	
Crimean Tatar	Ю	U+042E	y		Kavitskaya 2010: 5-17	
Crimean Tatar	ю	U+044E	y		Kavitskaya 2010: 5-17	
Crimean Tatar	я	U+044F	ja	в середине и в абсолютном конце слова	Kavitskaya 2010: 5-17	
